sample_id	run_id	geo_sample_id	donor	condition	sequencing_center	flowcell	lane	condition_name	self_reported_ethnic	AF_admixture	EU_admixture	ethnic_bin
AF179_NI2	SRR3471890	GSM2141505	AF179	Non-infected	CHUSJ	run191	6	NI	AA	0.689971	0.310029	NA
AF179_S2	SRR3471891	GSM2141506	AF179	Salmonella	CHUSJ	run191	6	S	AA	0.689971	0.310029	NA
AF181_L2	SRR3471892	GSM2141507	AF181	Listeria	CHUSJ	run191	7	L	AA	0.868837	0.131163	AA
AF181_NI2	SRR3471893	GSM2141508	AF181	Non-infected	CHUSJ	run191	7	NI	AA	0.868837	0.131163	AA
AF181_S2	SRR3471894	GSM2141509	AF181	Salmonella	CHUSJ	run191	7	S	AA	0.868837	0.131163	AA
AF183_L2	SRR3471895	GSM2141510	AF183	Listeria	CHUSJ	run191	1	L	AA	0.990514	0.009486	AA
AF183_NI2	SRR3471896	GSM2141511	AF183	Non-infected	CHUSJ	run191	1	NI	AA	0.990514	0.009486	AA
AF183_S2	SRR3471897	GSM2141512	AF183	Salmonella	CHUSJ	run191	1	S	AA	0.990514	0.009486	AA
AF185_L2	SRR3471898	GSM2141513	AF185	Listeria	CHUSJ	run191	2	L	AA	0.852458	0.147542	AA
AF185_NI2	SRR3471899	GSM2141514	AF185	Non-infected	CHUSJ	run191	2	NI	AA	0.852458	0.147542	AA
AF185_S2	SRR3471900	GSM2141515	AF185	Salmonella	CHUSJ	run191	2	S	AA	0.852458	0.147542	AA
AF187_L2	SRR3471901	GSM2141516	AF187	Listeria	CHUSJ	run191	3	L	AA	0.787002	0.212998	AA
AF187_NI2	SRR3471902	GSM2141517	AF187	Non-infected	CHUSJ	run191	3	NI	AA	0.787002	0.212998	AA
AF187_S2	SRR3471903	GSM2141518	AF187	Salmonella	CHUSJ	run191	3	S	AA	0.787002	0.212998	AA
AF189_L2	SRR3471904	GSM2141519	AF189	Listeria	CHUSJ	run191	4	L	AA	0.864667	0.135333	AA
AF189_NI2	SRR3471905	GSM2141520	AF189	Non-infected	CHUSJ	run191	4	NI	AA	0.864667	0.135333	AA
AF189_S2	SRR3471906	GSM2141521	AF189	Salmonella	CHUSJ	run191	4	S	AA	0.864667	0.135333	AA
AF191_L2	SRR3471907	GSM2141522	AF191	Listeria	CHUSJ	run192	1	L	AA	0.79514	0.20486	AA
AF191_NI2	SRR3471908	GSM2141523	AF191	Non-infected	CHUSJ	run192	1	NI	AA	0.79514	0.20486	AA
AF191_S2	SRR3471909	GSM2141524	AF191	Salmonella	CHUSJ	run192	1	S	AA	0.79514	0.20486	AA
AF193_L2	SRR3471910	GSM2141525	AF193	Listeria	CHUSJ	run185	5	L	AA	0.925358	0.074642	AA
AF193_NI2	SRR3471911	GSM2141526	AF193	Non-infected	CHUSJ	run185	5	NI	AA	0.925358	0.074642	AA
AF193_S2	SRR3471912	GSM2141527	AF193	Salmonella	CHUSJ	run185	5	S	AA	0.925358	0.074642	AA
AF195_L2	SRR3471913	GSM2141528	AF195	Listeria	CHUSJ	run192	3	L	AA	0.662897	0.337103	NA
AF195_NI2	SRR3471914	GSM2141529	AF195	Non-infected	CHUSJ	run192	3	NI	AA	0.662897	0.337103	NA
AF195_S2	SRR3471915	GSM2141530	AF195	Salmonella	CHUSJ	run192	3	S	AA	0.662897	0.337103	NA
AF55_L2	SRR3471916	GSM2141531	AF55	Listeria	IC	run786	3	L	AA	0.906362	0.093638	AA
AF55_S2	SRR3471917	GSM2141532	AF55	Salmonella	IC	run786	3	S	AA	0.906362	0.093638	AA
AF75_L2	SRR3471918	GSM2141533	AF75	Listeria	CHUSJ	run185	6	L	AA	0.721869	0.278131	NA
AF75_NI2	SRR3471919	GSM2141534	AF75	Non-infected	CHUSJ	run185	6	NI	AA	0.721869	0.278131	NA
AF75_S2	SRR3471920	GSM2141535	AF75	Salmonella	CHUSJ	run185	6	S	AA	0.721869	0.278131	NA
AF89_S2	SRR3471921	GSM2141536	AF89	Salmonella	CHUSJ	run152	1	S	AA	0.706299	0.293701	NA
AF91_S2	SRR3471922	GSM2141537	AF91	Salmonella	CHUSJ	run152	2	S	AA	1e-05	0.99999	EA
AF93_L2	SRR3471923	GSM2141538	AF93	Listeria	CHUSJ	run152	3	L	AA	0.464724	0.535276	NA
AF133_NI2	SRR3471824	GSM2141439	AF133	Non-infected	CHUSJ	run190	7	NI	AA	0.854443	0.145557	AA
AF133_S2	SRR3471825	GSM2141440	AF133	Salmonella	CHUSJ	run190	7	S	AA	0.854443	0.145557	AA
AF137_L2	SRR3471826	GSM2141441	AF137	Listeria	CHUSJ	run192	4	L	AA	0.654411	0.345589	NA
AF137_NI2	SRR3471827	GSM2141442	AF137	Non-infected	CHUSJ	run192	4	NI	AA	0.654411	0.345589	NA
AF137_S2	SRR3471828	GSM2141443	AF137	Salmonella	CHUSJ	run192	4	S	AA	0.654411	0.345589	NA
AF139_L2	SRR3471829	GSM2141444	AF139	Listeria	CHUSJ	run192	5	L	AA	0.743062	0.256938	NA
AF139_NI2	SRR3471830	GSM2141445	AF139	Non-infected	CHUSJ	run192	5	NI	AA	0.743062	0.256938	NA
AF139_S2	SRR3471831	GSM2141446	AF139	Salmonella	CHUSJ	run192	5	S	AA	0.743062	0.256938	NA
AF141_L2	SRR3471832	GSM2141447	AF141	Listeria	CHUSJ	run192	6	L	AA	0.79831	0.20169	AA
AF141_NI2	SRR3471833	GSM2141448	AF141	Non-infected	CHUSJ	run192	6	NI	AA	0.79831	0.20169	AA
AF141_S2	SRR3471834	GSM2141449	AF141	Salmonella	CHUSJ	run192	6	S	AA	0.79831	0.20169	AA
AF143_L2	SRR3471835	GSM2141450	AF143	Listeria	CHUSJ	run192	7	L	AA	0.681347	0.318653	NA
AF143_NI2	SRR3471836	GSM2141451	AF143	Non-infected	CHUSJ	run192	7	NI	AA	0.681347	0.318653	NA
AF143_S2	SRR3471837	GSM2141452	AF143	Salmonella	CHUSJ	run192	7	S	AA	0.681347	0.318653	NA
AF145_L2	SRR3471838	GSM2141453	AF145	Listeria	CHUSJ	run193	2	L	AA	0.859526	0.140474	AA
AF145_NI2	SRR3471839	GSM2141454	AF145	Non-infected	CHUSJ	run193	2	NI	AA	0.859526	0.140474	AA
AF145_S2	SRR3471840	GSM2141455	AF145	Salmonella	CHUSJ	run193	2	S	AA	0.859526	0.140474	AA
AF147_L2	SRR3471841	GSM2141456	AF147	Listeria	CHUSJ	run193	3	L	AA	0.758783	0.241217	AA
AF147_NI2	SRR3471842	GSM2141457	AF147	Non-infected	CHUSJ	run193	3	NI	AA	0.758783	0.241217	AA
AF147_S2	SRR3471843	GSM2141458	AF147	Salmonella	CHUSJ	run193	3	S	AA	0.758783	0.241217	AA
AF149_L2	SRR3471844	GSM2141459	AF149	Listeria	CHUSJ	run193	4	L	AA	0.825751	0.174249	AA
AF149_NI2	SRR3471845	GSM2141460	AF149	Non-infected	CHUSJ	run193	4	NI	AA	0.825751	0.174249	AA
AF149_S2	SRR3471846	GSM2141461	AF149	Salmonella	CHUSJ	run193	4	S	AA	0.825751	0.174249	AA
AF151_L2	SRR3471847	GSM2141462	AF151	Listeria	CHUSJ	run193	5	L	AA	0.866167	0.133833	AA
AF151_NI2	SRR3471848	GSM2141463	AF151	Non-infected	CHUSJ	run193	5	NI	AA	0.866167	0.133833	AA
AF151_S2	SRR3471849	GSM2141464	AF151	Salmonella	CHUSJ	run193	5	S	AA	0.866167	0.133833	AA
AF153_L2	SRR3471850	GSM2141465	AF153	Listeria	CHUSJ	run190	5	L	AA	0.55838	0.44162	NA
AF153_NI2	SRR3471851	GSM2141466	AF153	Non-infected	CHUSJ	run190	5	NI	AA	0.55838	0.44162	NA
AF153_S2	SRR3471852	GSM2141467	AF153	Salmonella	CHUSJ	run190	5	S	AA	0.55838	0.44162	NA
AF155_L2	SRR3471853	GSM2141468	AF155	Listeria	CHUSJ	run190	6	L	AA	0.779987	0.220013	AA
AF155_NI2	SRR3471854	GSM2141469	AF155	Non-infected	CHUSJ	run190	6	NI	AA	0.779987	0.220013	AA
AF155_S2	SRR3471855	GSM2141470	AF155	Salmonella	CHUSJ	run190	6	S	AA	0.779987	0.220013	AA
AF157_L2	SRR3471856	GSM2141471	AF157	Listeria	CHUSJ	run192	2	L	AA	0.714425	0.285575	NA
AF157_NI2	SRR3471857	GSM2141472	AF157	Non-infected	CHUSJ	run192	2	NI	AA	0.714425	0.285575	NA
AF157_S2	SRR3471858	GSM2141473	AF157	Salmonella	CHUSJ	run192	2	S	AA	0.714425	0.285575	NA
AF159_L2	SRR3471859	GSM2141474	AF159	Listeria	CHUSJ	run193	6	L	AA	0.759088	0.240912	AA
AF159_NI2	SRR3471860	GSM2141475	AF159	Non-infected	CHUSJ	run193	6	NI	AA	0.759088	0.240912	AA
AF159_S2	SRR3471861	GSM2141476	AF159	Salmonella	CHUSJ	run193	6	S	AA	0.759088	0.240912	AA
AF161_L2	SRR3471862	GSM2141477	AF161	Listeria	CHUSJ	run266	7	L	AA	0.702467	0.297533	NA
AF161_NI2	SRR3471863	GSM2141478	AF161	Non-infected	CHUSJ	run193	7	NI	AA	0.702467	0.297533	NA
EU68_L2	SRR3471764	GSM2141379	EU68	Listeria	IC	run1104	3	L	EA	1e-05	0.99999	EA
EU68_NI2	SRR3471765	GSM2141380	EU68	Non-infected	IC	run1104	3	NI	EA	1e-05	0.99999	EA
EU68_S2	SRR3471766	GSM2141381	EU68	Salmonella	IC	run1104	3	S	EA	1e-05	0.99999	EA
EU70_L2	SRR3471767	GSM2141382	EU70	Listeria	IC	run1104	6	L	EA	1e-05	0.99999	EA
EU70_NI2	SRR3471768	GSM2141383	EU70	Non-infected	IC	run1104	6	NI	EA	1e-05	0.99999	EA
EU70_S2	SRR3471769	GSM2141384	EU70	Salmonella	IC	run1104	6	S	EA	1e-05	0.99999	EA
EU72_L2	SRR3471770	GSM2141385	EU72	Listeria	IC	run1104	5	L	EA	1e-05	0.99999	EA
EU72_NI2	SRR3471771	GSM2141386	EU72	Non-infected	IC	run1104	5	NI	EA	1e-05	0.99999	EA
EU72_S2	SRR3471772	GSM2141387	EU72	Salmonella	IC	run1104	5	S	EA	1e-05	0.99999	EA
EU74_L2	SRR3471773	GSM2141388	EU74	Listeria	IC	run1104	4	L	EA	1e-05	0.99999	EA
EU74_NI2	SRR3471774	GSM2141389	EU74	Non-infected	IC	run1104	4	NI	EA	1e-05	0.99999	EA
EU74_S2	SRR3471775	GSM2141390	EU74	Salmonella	IC	run1104	4	S	EA	1e-05	0.99999	EA
EU76_L2	SRR3471776	GSM2141391	EU76	Listeria	IC	run1144	1	L	EA	1e-05	0.99999	EA
EU76_NI2	SRR3471777	GSM2141392	EU76	Non-infected	IC	run1144	1	NI	EA	1e-05	0.99999	EA
EU76_S2	SRR3471778	GSM2141393	EU76	Salmonella	IC	run1144	1	S	EA	1e-05	0.99999	EA
EU78_L2	SRR3471779	GSM2141394	EU78	Listeria	IC	run1144	2	L	EA	1e-05	0.99999	EA
EU78_NI2	SRR3471780	GSM2141395	EU78	Non-infected	IC	run1144	2	NI	EA	1e-05	0.99999	EA
EU78_S2	SRR3471781	GSM2141396	EU78	Salmonella	IC	run1144	2	S	EA	1e-05	0.99999	EA
EU80_L2	SRR3471782	GSM2141397	EU80	Listeria	IC	run1144	3	L	EA	1e-05	0.99999	EA
EU80_NI2	SRR3471783	GSM2141398	EU80	Non-infected	IC	run1144	3	NI	EA	1e-05	0.99999	EA
EU80_S2	SRR3471784	GSM2141399	EU80	Salmonella	IC	run1144	3	S	EA	1e-05	0.99999	EA
AF101_L2	SRR3471785	GSM2141400	AF101	Listeria	CHUSJ	run156	1	L	AA	0.679333	0.320667	NA
AF101_NI2	SRR3471786	GSM2141401	AF101	Non-infected	CHUSJ	run156	1	NI	AA	0.679333	0.320667	NA
AF101_S2	SRR3471787	GSM2141402	AF101	Salmonella	CHUSJ	run156	1	S	AA	0.679333	0.320667	NA
AF105_L2	SRR3471788	GSM2141403	AF105	Listeria	CHUSJ	run152	5	L	AA	0.796217	0.203783	AA
AF105_NI2	SRR3471789	GSM2141404	AF105	Non-infected	CHUSJ	run152	5	NI	AA	0.796217	0.203783	AA
AF105_S2	SRR3471790	GSM2141405	AF105	Salmonella	CHUSJ	run152	5	S	AA	0.796217	0.203783	AA
AF107_L2	SRR3471791	GSM2141406	AF107	Listeria	CHUSJ	run152	6	L	AA	1e-05	0.99999	EA
AF107_NI2	SRR3471792	GSM2141407	AF107	Non-infected	CHUSJ	run152	6	NI	AA	1e-05	0.99999	EA
AF107_S2	SRR3471793	GSM2141408	AF107	Salmonella	CHUSJ	run152	6	S	AA	1e-05	0.99999	EA
AF109_L2	SRR3471794	GSM2141409	AF109	Listeria	CHUSJ	run152	7	L	AA	0.770756	0.229244	AA
AF109_NI2	SRR3471795	GSM2141410	AF109	Non-infected	CHUSJ	run152	7	NI	AA	0.770756	0.229244	AA
AF109_S2	SRR3471796	GSM2141411	AF109	Salmonella	CHUSJ	run152	7	S	AA	0.770756	0.229244	AA
AF111_L2	SRR3471797	GSM2141412	AF111	Listeria	CHUSJ	run193	1	L	AA	0.818034	0.181966	AA
AF111_NI2	SRR3471798	GSM2141413	AF111	Non-infected	CHUSJ	run193	1	NI	AA	0.818034	0.181966	AA
AF111_S2	SRR3471799	GSM2141414	AF111	Salmonella	CHUSJ	run193	1	S	AA	0.818034	0.181966	AA
AF113_L2	SRR3471800	GSM2141415	AF113	Listeria	CHUSJ	run156	5	L	AA	0.717018	0.282982	NA
AF113_NI2	SRR3471801	GSM2141416	AF113	Non-infected	CHUSJ	run156	5	NI	AA	0.717018	0.282982	NA
AF113_S2	SRR3471802	GSM2141417	AF113	Salmonella	CHUSJ	run156	5	S	AA	0.717018	0.282982	NA
AF115_L2	SRR3471803	GSM2141418	AF115	Listeria	CHUSJ	run156	6	L	AA	0.80333	0.19667	AA
AF115_NI2	SRR3471804	GSM2141419	AF115	Non-infected	CHUSJ	run156	6	NI	AA	0.80333	0.19667	AA
AF115_S2	SRR3471805	GSM2141420	AF115	Salmonella	CHUSJ	run156	6	S	AA	0.80333	0.19667	AA
AF117_NI2	SRR3471806	GSM2141421	AF117	Non-infected	CHUSJ	run156	2	NI	AA	0.712329	0.287671	NA
AF117_S2	SRR3471807	GSM2141422	AF117	Salmonella	CHUSJ	run156	2	S	AA	0.712329	0.287671	NA
AF119_L2	SRR3471808	GSM2141423	AF119	Listeria	CHUSJ	run156	4	L	AA	0.758461	0.241539	AA
AF119_NI2	SRR3471809	GSM2141424	AF119	Non-infected	CHUSJ	run156	4	NI	AA	0.758461	0.241539	AA
AF119_S2	SRR3471810	GSM2141425	AF119	Salmonella	CHUSJ	run156	4	S	AA	0.758461	0.241539	AA
AF125_L2	SRR3471811	GSM2141426	AF125	Listeria	CHUSJ	run190	1	L	AA	0.792307	0.207693	AA
AF125_NI2	SRR3471812	GSM2141427	AF125	Non-infected	CHUSJ	run190	1	NI	AA	0.792307	0.207693	AA
AF125_S2	SRR3471813	GSM2141428	AF125	Salmonella	CHUSJ	run190	1	S	AA	0.792307	0.207693	AA
AF127_L2	SRR3471814	GSM2141429	AF127	Listeria	CHUSJ	run190	2	L	AA	0.775397	0.224603	AA
AF127_NI2	SRR3471815	GSM2141430	AF127	Non-infected	CHUSJ	run190	2	NI	AA	0.775397	0.224603	AA
AF127_S2	SRR3471816	GSM2141431	AF127	Salmonella	CHUSJ	run190	2	S	AA	0.775397	0.224603	AA
AF129_L2	SRR3471817	GSM2141432	AF129	Listeria	CHUSJ	run190	3	L	AA	0.691217	0.308783	NA
AF129_NI2	SRR3471818	GSM2141433	AF129	Non-infected	CHUSJ	run190	3	NI	AA	0.691217	0.308783	NA
AF129_S2	SRR3471819	GSM2141434	AF129	Salmonella	CHUSJ	run190	3	S	AA	0.691217	0.308783	NA
AF131_L2	SRR3471820	GSM2141435	AF131	Listeria	CHUSJ	run190	4	L	AA	0.75748	0.24252	AA
AF131_NI2	SRR3471821	GSM2141436	AF131	Non-infected	CHUSJ	run190	4	NI	AA	0.75748	0.24252	AA
AF131_S2	SRR3471822	GSM2141437	AF131	Salmonella	CHUSJ	run190	4	S	AA	0.75748	0.24252	AA
AF133_L2	SRR3471823	GSM2141438	AF133	Listeria	CHUSJ	run190	7	L	AA	0.854443	0.145557	AA
EU30_S2	SRR3471724	GSM2141339	EU30	Salmonella	IC	run580	6	S	EA	1e-05	0.99999	EA
EU34_L2	SRR3471725	GSM2141340	EU34	Listeria	IC	run782	5	L	EA	1e-05	0.99999	EA
EU34_NI2	SRR3471726	GSM2141341	EU34	Non-infected	IC	run782	5	NI	EA	1e-05	0.99999	EA
EU34_S2	SRR3471727	GSM2141342	EU34	Salmonella	IC	run782	5	S	EA	1e-05	0.99999	EA
EU36_L2	SRR3471728	GSM2141343	EU36	Listeria	IC	run786	6	L	EA	1e-05	0.99999	EA
EU36_NI2	SRR3471729	GSM2141344	EU36	Non-infected	IC	run786	6	NI	EA	1e-05	0.99999	EA
EU36_S2	SRR3471730	GSM2141345	EU36	Salmonella	IC	run786	6	S	EA	1e-05	0.99999	EA
EU42_L2	SRR3471731	GSM2141346	EU42	Listeria	IC	run782	3	L	EA	1e-05	0.99999	EA
EU42_NI2	SRR3471732	GSM2141347	EU42	Non-infected	IC	run782	3	NI	EA	1e-05	0.99999	EA
EU42_S2	SRR3471733	GSM2141348	EU42	Salmonella	IC	run782	3	S	EA	1e-05	0.99999	EA
EU46_L2	SRR3471734	GSM2141349	EU46	Listeria	IC	run782	6	L	EA	1e-05	0.99999	EA
EU46_NI2	SRR3471735	GSM2141350	EU46	Non-infected	IC	run782	6	NI	EA	1e-05	0.99999	EA
EU46_S2	SRR3471736	GSM2141351	EU46	Salmonella	IC	run782	6	S	EA	1e-05	0.99999	EA
EU48_L2	SRR3471737	GSM2141352	EU48	Listeria	IC	run782	4	L	EA	1e-05	0.99999	EA
EU48_NI2	SRR3471738	GSM2141353	EU48	Non-infected	IC	run782	4	NI	EA	1e-05	0.99999	EA
EU48_S2	SRR3471739	GSM2141354	EU48	Salmonella	IC	run782	4	S	EA	1e-05	0.99999	EA
EU50_L2	SRR3471740	GSM2141355	EU50	Listeria	IC	run786	8	L	EA	1e-05	0.99999	EA
EU50_NI2	SRR3471741	GSM2141356	EU50	Non-infected	IC	run786	8	NI	EA	1e-05	0.99999	EA
EU50_S2	SRR3471742	GSM2141357	EU50	Salmonella	IC	run786	8	S	EA	1e-05	0.99999	EA
EU52_L2	SRR3471743	GSM2141358	EU52	Listeria	IC	run782	8	L	EA	1e-05	0.99999	EA
EU52_NI2	SRR3471744	GSM2141359	EU52	Non-infected	IC	run782	8	NI	EA	1e-05	0.99999	EA
EU52_S2	SRR3471745	GSM2141360	EU52	Salmonella	IC	run782	8	S	EA	1e-05	0.99999	EA
EU54_L2	SRR3471746	GSM2141361	EU54	Listeria	IC	run782	7	L	EA	1e-05	0.99999	EA
EU54_NI2	SRR3471747	GSM2141362	EU54	Non-infected	IC	run782	7	NI	EA	1e-05	0.99999	EA
EU54_S2	SRR3471748	GSM2141363	EU54	Salmonella	IC	run782	7	S	EA	1e-05	0.99999	EA
EU58_L2	SRR3471749	GSM2141364	EU58	Listeria	IC	run782	1	L	EA	1e-05	0.99999	EA
EU58_NI2	SRR3471750	GSM2141365	EU58	Non-infected	IC	run782	1	NI	EA	1e-05	0.99999	EA
EU58_S2	SRR3471751	GSM2141366	EU58	Salmonella	IC	run782	1	S	EA	1e-05	0.99999	EA
EU60_L2	SRR3471752	GSM2141367	EU60	Listeria	IC	run782	2	L	EA	1e-05	0.99999	EA
EU60_NI2	SRR3471753	GSM2141368	EU60	Non-infected	IC	run782	2	NI	EA	1e-05	0.99999	EA
EU60_S2	SRR3471754	GSM2141369	EU60	Salmonella	IC	run782	2	S	EA	1e-05	0.99999	EA
EU62_L2	SRR3471755	GSM2141370	EU62	Listeria	IC	run786	1	L	EA	1e-05	0.99999	EA
EU62_NI2	SRR3471756	GSM2141371	EU62	Non-infected	IC	run786	1	NI	EA	1e-05	0.99999	EA
EU62_S2	SRR3471757	GSM2141372	EU62	Salmonella	IC	run786	1	S	EA	1e-05	0.99999	EA
EU64_L2	SRR3471758	GSM2141373	EU64	Listeria	IC	run786	4	L	EA	1e-05	0.99999	EA
EU64_NI2	SRR3471759	GSM2141374	EU64	Non-infected	IC	run786	4	NI	EA	1e-05	0.99999	EA
EU64_S2	SRR3471760	GSM2141375	EU64	Salmonella	IC	run786	4	S	EA	1e-05	0.99999	EA
EU66_L2	SRR3471761	GSM2141376	EU66	Listeria	IC	run786	2	L	EA	1e-05	0.99999	EA
EU66_NI2	SRR3471762	GSM2141377	EU66	Non-infected	IC	run786	2	NI	EA	1e-05	0.99999	EA
EU66_S2	SRR3471763	GSM2141378	EU66	Salmonella	IC	run786	2	S	EA	1e-05	0.99999	EA
AF47_NI2	SRR3471664	GSM2141279	AF47	Non-infected	IC	run782	2	NI	AA	0.223309	0.776691	EA
AF47_S2	SRR3471665	GSM2141280	AF47	Salmonella	IC	run782	2	S	AA	0.223309	0.776691	EA
AF53_L2	SRR3471666	GSM2141281	AF53	Listeria	IC	run786	2	L	AA	0.87972	0.12028	AA
AF53_NI2	SRR3471667	GSM2141282	AF53	Non-infected	IC	run786	2	NI	AA	0.87972	0.12028	AA
AF53_S2	SRR3471668	GSM2141283	AF53	Salmonella	IC	run786	2	S	AA	0.87972	0.12028	AA
AF57_L2	SRR3471669	GSM2141284	AF57	Listeria	IC	run786	6	L	AA	0.708263	0.291737	NA
AF57_NI2	SRR3471670	GSM2141285	AF57	Non-infected	IC	run786	6	NI	AA	0.708263	0.291737	NA
AF57_S2	SRR3471671	GSM2141286	AF57	Salmonella	IC	run786	6	S	AA	0.708263	0.291737	NA
AF59_L2	SRR3471672	GSM2141287	AF59	Listeria	IC	run786	4	L	AA	0.871641	0.128359	AA
AF59_NI2	SRR3471673	GSM2141288	AF59	Non-infected	IC	run786	4	NI	AA	0.871641	0.128359	AA
AF59_S2	SRR3471674	GSM2141289	AF59	Salmonella	IC	run786	4	S	AA	0.871641	0.128359	AA
AF61_L2	SRR3471675	GSM2141290	AF61	Listeria	IC	run786	7	L	AA	0.78866	0.21134	AA
AF61_NI2	SRR3471676	GSM2141291	AF61	Non-infected	IC	run786	7	NI	AA	0.78866	0.21134	AA
AF61_S2	SRR3471677	GSM2141292	AF61	Salmonella	IC	run786	7	S	AA	0.78866	0.21134	AA
AF63_L2	SRR3471678	GSM2141293	AF63	Listeria	IC	run1104	7	L	AA	0.795462	0.204538	AA
AF63_NI2	SRR3471679	GSM2141294	AF63	Non-infected	IC	run1104	7	NI	AA	0.795462	0.204538	AA
AF63_S2	SRR3471680	GSM2141295	AF63	Salmonella	IC	run1104	7	S	AA	0.795462	0.204538	AA
AF65_L2	SRR3471681	GSM2141296	AF65	Listeria	IC	run1104	4	L	AA	0.796079	0.203921	AA
AF65_NI2	SRR3471682	GSM2141297	AF65	Non-infected	IC	run1104	4	NI	AA	0.796079	0.203921	AA
AF65_S2	SRR3471683	GSM2141298	AF65	Salmonella	IC	run1104	4	S	AA	0.796079	0.203921	AA
AF67_L2	SRR3471684	GSM2141299	AF67	Listeria	IC	run1104	5	L	AA	0.831366	0.168634	AA
AF67_NI2	SRR3471685	GSM2141300	AF67	Non-infected	IC	run1104	5	NI	AA	0.831366	0.168634	AA
AF67_S2	SRR3471686	GSM2141301	AF67	Salmonella	IC	run1104	5	S	AA	0.831366	0.168634	AA
AF69_L2	SRR3471687	GSM2141302	AF69	Listeria	IC	run1104	3	L	AA	0.885108	0.114892	AA
AF69_NI2	SRR3471688	GSM2141303	AF69	Non-infected	IC	run1104	3	NI	AA	0.885108	0.114892	AA
AF69_S2	SRR3471689	GSM2141304	AF69	Salmonella	IC	run1104	3	S	AA	0.885108	0.114892	AA
AF71_L2	SRR3471690	GSM2141305	AF71	Listeria	IC	run1104	6	L	AA	0.749386	0.250614	NA
AF71_NI2	SRR3471691	GSM2141306	AF71	Non-infected	IC	run1104	6	NI	AA	0.749386	0.250614	NA
AF71_S2	SRR3471692	GSM2141307	AF71	Salmonella	IC	run1104	6	S	AA	0.749386	0.250614	NA
AF77_L2	SRR3471693	GSM2141308	AF77	Listeria	IC	run1104	7	L	AA	0.740356	0.259644	NA
AF77_NI2	SRR3471694	GSM2141309	AF77	Non-infected	IC	run1104	7	NI	AA	0.740356	0.259644	NA
AF77_S2	SRR3471695	GSM2141310	AF77	Salmonella	IC	run1104	7	S	AA	0.740356	0.259644	NA
AF79_L2	SRR3471696	GSM2141311	AF79	Listeria	IC	run1144	3	L	AA	0.559903	0.440097	NA
AF79_NI2	SRR3471697	GSM2141312	AF79	Non-infected	IC	run1144	3	NI	AA	0.559903	0.440097	NA
AF79_S2	SRR3471698	GSM2141313	AF79	Salmonella	IC	run1144	3	S	AA	0.559903	0.440097	NA
EU06_L2	SRR3471699	GSM2141314	EU06	Listeria	IC	run786	5	L	EA	1e-05	0.99999	EA
EU06_NI2	SRR3471700	GSM2141315	EU06	Non-infected	IC	run786	5	NI	EA	1e-05	0.99999	EA
EU06_S2	SRR3471701	GSM2141316	EU06	Salmonella	IC	run786	5	S	EA	1e-05	0.99999	EA
EU14_L2	SRR3471702	GSM2141317	EU14	Listeria	IC	run580	4	L	EA	1e-05	0.99999	EA
EU14_NI2	SRR3471703	GSM2141318	EU14	Non-infected	IC	run580	4	NI	EA	1e-05	0.99999	EA
EU14_S2	SRR3471704	GSM2141319	EU14	Salmonella	IC	run580	4	S	EA	1e-05	0.99999	EA
EU16_L2	SRR3471705	GSM2141320	EU16	Listeria	IC	run580	2	L	EA	1e-05	0.99999	EA
EU16_NI2	SRR3471706	GSM2141321	EU16	Non-infected	IC	run580	2	NI	EA	1e-05	0.99999	EA
EU16_S2	SRR3471707	GSM2141322	EU16	Salmonella	IC	run580	2	S	EA	1e-05	0.99999	EA
EU20_NI2	SRR3471708	GSM2141323	EU20	Non-infected	IC	run809	7	NI	EA	1e-05	0.99999	EA
EU20_S2	SRR3471709	GSM2141324	EU20	Salmonella	IC	run809	7	S	EA	1e-05	0.99999	EA
EU22_L2	SRR3471710	GSM2141325	EU22	Listeria	IC	run580	3	L	EA	1e-05	0.99999	EA
EU22_NI2	SRR3471711	GSM2141326	EU22	Non-infected	IC	run580	3	NI	EA	1e-05	0.99999	EA
EU22_S2	SRR3471712	GSM2141327	EU22	Salmonella	IC	run580	3	S	EA	1e-05	0.99999	EA
EU24_L2	SRR3471713	GSM2141328	EU24	Listeria	IC	run580	7	L	EA	1e-05	0.99999	EA
EU24_NI2	SRR3471714	GSM2141329	EU24	Non-infected	IC	run580	7	NI	EA	1e-05	0.99999	EA
EU24_S2	SRR3471715	GSM2141330	EU24	Salmonella	IC	run580	7	S	EA	1e-05	0.99999	EA
EU26_L2	SRR3471716	GSM2141331	EU26	Listeria	IC	run580	5	L	EA	1e-05	0.99999	EA
EU26_NI2	SRR3471717	GSM2141332	EU26	Non-infected	IC	run580	5	NI	EA	1e-05	0.99999	EA
EU26_S2	SRR3471718	GSM2141333	EU26	Salmonella	IC	run580	5	S	EA	1e-05	0.99999	EA
EU28_L2	SRR3471719	GSM2141334	EU28	Listeria	IC	run572	8	L	EA	1e-05	0.99999	EA
EU28_NI2	SRR3471720	GSM2141335	EU28	Non-infected	IC	run572	8	NI	EA	1e-05	0.99999	EA
EU28_S2	SRR3471721	GSM2141336	EU28	Salmonella	IC	run572	8	S	EA	1e-05	0.99999	EA
EU30_L2	SRR3471722	GSM2141337	EU30	Listeria	IC	run580	6	L	EA	1e-05	0.99999	EA
EU30_NI2	SRR3471723	GSM2141338	EU30	Non-infected	IC	run580	6	NI	EA	1e-05	0.99999	EA
