sample_id	donor	condition_number	condition_name	ega_id	fq1
GTXWVKOGCP_1	GTXWVKOGCP	1	naive	EGAR00001481855	_EGAR00001481855_EIP@GTXWVKOGCP-1_aligned.fq.gz
GTXWVKOGCP_2	GTXWVKOGCP	2	LPS	EGAR00001481856	_EGAR00001481856_EIP@GTXWVKOGCP-2_aligned.fq.gz
GTXWVKOGCP_3	GTXWVKOGCP	3	Pam3CSK4	EGAR00001481857	_EGAR00001481857_EIP@GTXWVKOGCP-3_aligned.fq.gz
GTXWVKOGCP_4	GTXWVKOGCP	4	R848	EGAR00001481858	_EGAR00001481858_EIP@GTXWVKOGCP-4_aligned.fq.gz
GTXWVKOGCP_5	GTXWVKOGCP	5	IAV	EGAR00001481859	_EGAR00001481859_EIP@GTXWVKOGCP-5_aligned.fq.gz
GXZZOFFFIN_1	GXZZOFFFIN	1	naive	EGAR00001481860	_EGAR00001481860_EIP@GXZZOFFFIN-1_aligned.fq.gz
GXZZOFFFIN_2	GXZZOFFFIN	2	LPS	EGAR00001481861	_EGAR00001481861_EIP@GXZZOFFFIN-2_aligned.fq.gz
GXZZOFFFIN_3	GXZZOFFFIN	3	Pam3CSK4	EGAR00001481862	_EGAR00001481862_EIP@GXZZOFFFIN-3_aligned.fq.gz
GXZZOFFFIN_4	GXZZOFFFIN	4	R848	EGAR00001481863	_EGAR00001481863_EIP@GXZZOFFFIN-4_aligned.fq.gz
GXZZOFFFIN_5	GXZZOFFFIN	5	IAV	EGAR00001481864	_EGAR00001481864_EIP@GXZZOFFFIN-5_aligned.fq.gz
HFJDNSKKMJ_1	HFJDNSKKMJ	1	naive	EGAR00001481865	_EGAR00001481865_EIP@HFJDNSKKMJ-1_aligned.fq.gz
HFJDNSKKMJ_2	HFJDNSKKMJ	2	LPS	EGAR00001481866	_EGAR00001481866_EIP@HFJDNSKKMJ-2_aligned.fq.gz
HFJDNSKKMJ_3	HFJDNSKKMJ	3	Pam3CSK4	EGAR00001481867	_EGAR00001481867_EIP@HFJDNSKKMJ-3_aligned.fq.gz
HFJDNSKKMJ_4	HFJDNSKKMJ	4	R848	EGAR00001481868	_EGAR00001481868_EIP@HFJDNSKKMJ-4_aligned.fq.gz
HFJDNSKKMJ_5	HFJDNSKKMJ	5	IAV	EGAR00001481869	_EGAR00001481869_EIP@HFJDNSKKMJ-5_aligned.fq.gz
HHLVSNGCLC_1	HHLVSNGCLC	1	naive	EGAR00001481870	_EGAR00001481870_EIP@HHLVSNGCLC-1_aligned.fq.gz
HHLVSNGCLC_3	HHLVSNGCLC	3	Pam3CSK4	EGAR00001481871	_EGAR00001481871_EIP@HHLVSNGCLC-3_aligned.fq.gz
HHLVSNGCLC_4	HHLVSNGCLC	4	R848	EGAR00001481872	_EGAR00001481872_EIP@HHLVSNGCLC-4_aligned.fq.gz
HHLVSNGCLC_5	HHLVSNGCLC	5	IAV	EGAR00001481873	_EGAR00001481873_EIP@HHLVSNGCLC-5_aligned.fq.gz
HJHLORELQS_1	HJHLORELQS	1	naive	EGAR00001481874	_EGAR00001481874_EIP@HJHLORELQS-1_aligned.fq.gz
HJHLORELQS_2	HJHLORELQS	2	LPS	EGAR00001481875	_EGAR00001481875_EIP@HJHLORELQS-2_aligned.fq.gz
HJHLORELQS_3	HJHLORELQS	3	Pam3CSK4	EGAR00001481876	_EGAR00001481876_EIP@HJHLORELQS-3_aligned.fq.gz
HJHLORELQS_4	HJHLORELQS	4	R848	EGAR00001481877	_EGAR00001481877_EIP@HJHLORELQS-4_aligned.fq.gz
HJHLORELQS_5	HJHLORELQS	5	IAV	EGAR00001481878	_EGAR00001481878_EIP@HJHLORELQS-5_aligned.fq.gz
HKTNZNHWVL_1	HKTNZNHWVL	1	naive	EGAR00001481879	_EGAR00001481879_EIP@HKTNZNHWVL-1_aligned.fq.gz
HKTNZNHWVL_2	HKTNZNHWVL	2	LPS	EGAR00001481880	_EGAR00001481880_EIP@HKTNZNHWVL-2_aligned.fq.gz
HKTNZNHWVL_3	HKTNZNHWVL	3	Pam3CSK4	EGAR00001481881	_EGAR00001481881_EIP@HKTNZNHWVL-3_aligned.fq.gz
HKTNZNHWVL_4	HKTNZNHWVL	4	R848	EGAR00001481882	_EGAR00001481882_EIP@HKTNZNHWVL-4_aligned.fq.gz
HKTNZNHWVL_5	HKTNZNHWVL	5	IAV	EGAR00001481883	_EGAR00001481883_EIP@HKTNZNHWVL-5_aligned.fq.gz
HUJSOVYQHV_1	HUJSOVYQHV	1	naive	EGAR00001481884	_EGAR00001481884_EIP@HUJSOVYQHV-1_aligned.fq.gz
HUJSOVYQHV_2	HUJSOVYQHV	2	LPS	EGAR00001481885	_EGAR00001481885_EIP@HUJSOVYQHV-2_aligned.fq.gz
HUJSOVYQHV_3	HUJSOVYQHV	3	Pam3CSK4	EGAR00001481886	_EGAR00001481886_EIP@HUJSOVYQHV-3_aligned.fq.gz
HUJSOVYQHV_4	HUJSOVYQHV	4	R848	EGAR00001481887	_EGAR00001481887_EIP@HUJSOVYQHV-4_aligned.fq.gz
HUJSOVYQHV_5	HUJSOVYQHV	5	IAV	EGAR00001481888	_EGAR00001481888_EIP@HUJSOVYQHV-5_aligned.fq.gz
HZRSFLQRBY_1	HZRSFLQRBY	1	naive	EGAR00001481889	_EGAR00001481889_EIP@HZRSFLQRBY-1_aligned.fq.gz
HZRSFLQRBY_2	HZRSFLQRBY	2	LPS	EGAR00001481890	_EGAR00001481890_EIP@HZRSFLQRBY-2_aligned.fq.gz
HZRSFLQRBY_3	HZRSFLQRBY	3	Pam3CSK4	EGAR00001481891	_EGAR00001481891_EIP@HZRSFLQRBY-3_aligned.fq.gz
HZRSFLQRBY_4	HZRSFLQRBY	4	R848	EGAR00001481892	_EGAR00001481892_EIP@HZRSFLQRBY-4_aligned.fq.gz
HZRSFLQRBY_5	HZRSFLQRBY	5	IAV	EGAR00001481893	_EGAR00001481893_EIP@HZRSFLQRBY-5_aligned.fq.gz
IBEEIMQZIL_1	IBEEIMQZIL	1	naive	EGAR00001481894	_EGAR00001481894_EIP@IBEEIMQZIL-1_aligned.fq.gz
IBEEIMQZIL_2	IBEEIMQZIL	2	LPS	EGAR00001481895	_EGAR00001481895_EIP@IBEEIMQZIL-2_aligned.fq.gz
IBEEIMQZIL_3	IBEEIMQZIL	3	Pam3CSK4	EGAR00001481896	_EGAR00001481896_EIP@IBEEIMQZIL-3_aligned.fq.gz
IBEEIMQZIL_4	IBEEIMQZIL	4	R848	EGAR00001481897	_EGAR00001481897_EIP@IBEEIMQZIL-4_aligned.fq.gz
IBEEIMQZIL_5	IBEEIMQZIL	5	IAV	EGAR00001481898	_EGAR00001481898_EIP@IBEEIMQZIL-5_aligned.fq.gz
INBOXCSKNQ_1	INBOXCSKNQ	1	naive	EGAR00001481899	_EGAR00001481899_EIP@INBOXCSKNQ-1_aligned.fq.gz
INBOXCSKNQ_2	INBOXCSKNQ	2	LPS	EGAR00001481900	_EGAR00001481900_EIP@INBOXCSKNQ-2_aligned.fq.gz
INBOXCSKNQ_3	INBOXCSKNQ	3	Pam3CSK4	EGAR00001481901	_EGAR00001481901_EIP@INBOXCSKNQ-3_aligned.fq.gz
INBOXCSKNQ_4	INBOXCSKNQ	4	R848	EGAR00001481902	_EGAR00001481902_EIP@INBOXCSKNQ-4_aligned.fq.gz
INBOXCSKNQ_5	INBOXCSKNQ	5	IAV	EGAR00001481903	_EGAR00001481903_EIP@INBOXCSKNQ-5_aligned.fq.gz
IUBCERAEFL_1	IUBCERAEFL	1	naive	EGAR00001481904	_EGAR00001481904_EIP@IUBCERAEFL-1_aligned.fq.gz
IUBCERAEFL_2	IUBCERAEFL	2	LPS	EGAR00001481905	_EGAR00001481905_EIP@IUBCERAEFL-2_aligned.fq.gz
IUBCERAEFL_3	IUBCERAEFL	3	Pam3CSK4	EGAR00001481906	_EGAR00001481906_EIP@IUBCERAEFL-3_aligned.fq.gz
IUBCERAEFL_5	IUBCERAEFL	5	IAV	EGAR00001481907	_EGAR00001481907_EIP@IUBCERAEFL-5_aligned.fq.gz
IVHZNOUGHI_1	IVHZNOUGHI	1	naive	EGAR00001481908	_EGAR00001481908_EIP@IVHZNOUGHI-1_aligned.fq.gz
IVHZNOUGHI_2	IVHZNOUGHI	2	LPS	EGAR00001481909	_EGAR00001481909_EIP@IVHZNOUGHI-2_aligned.fq.gz
IVHZNOUGHI_3	IVHZNOUGHI	3	Pam3CSK4	EGAR00001481910	_EGAR00001481910_EIP@IVHZNOUGHI-3_aligned.fq.gz
IVHZNOUGHI_4	IVHZNOUGHI	4	R848	EGAR00001481911	_EGAR00001481911_EIP@IVHZNOUGHI-4_aligned.fq.gz
IVHZNOUGHI_5	IVHZNOUGHI	5	IAV	EGAR00001481912	_EGAR00001481912_EIP@IVHZNOUGHI-5_aligned.fq.gz
IYZSBNMGAN_1	IYZSBNMGAN	1	naive	EGAR00001481913	_EGAR00001481913_EIP@IYZSBNMGAN-1_aligned.fq.gz
IYZSBNMGAN_2	IYZSBNMGAN	2	LPS	EGAR00001481914	_EGAR00001481914_EIP@IYZSBNMGAN-2_aligned.fq.gz
IYZSBNMGAN_3	IYZSBNMGAN	3	Pam3CSK4	EGAR00001481915	_EGAR00001481915_EIP@IYZSBNMGAN-3_aligned.fq.gz
IYZSBNMGAN_4	IYZSBNMGAN	4	R848	EGAR00001481916	_EGAR00001481916_EIP@IYZSBNMGAN-4_aligned.fq.gz
IYZSBNMGAN_5	IYZSBNMGAN	5	IAV	EGAR00001481917	_EGAR00001481917_EIP@IYZSBNMGAN-5_aligned.fq.gz
JAECQJYIHD_1	JAECQJYIHD	1	naive	EGAR00001481918	_EGAR00001481918_EIP@JAECQJYIHD-1_aligned.fq.gz
JAECQJYIHD_2	JAECQJYIHD	2	LPS	EGAR00001481919	_EGAR00001481919_EIP@JAECQJYIHD-2_aligned.fq.gz
JAECQJYIHD_3	JAECQJYIHD	3	Pam3CSK4	EGAR00001481920	_EGAR00001481920_EIP@JAECQJYIHD-3_aligned.fq.gz
JAECQJYIHD_4	JAECQJYIHD	4	R848	EGAR00001481921	_EGAR00001481921_EIP@JAECQJYIHD-4_aligned.fq.gz
JAECQJYIHD_5	JAECQJYIHD	5	IAV	EGAR00001481922	_EGAR00001481922_EIP@JAECQJYIHD-5_aligned.fq.gz
JCZZKSTDMH_1	JCZZKSTDMH	1	naive	EGAR00001481923	_EGAR00001481923_EIP@JCZZKSTDMH-1_aligned.fq.gz
JCZZKSTDMH_2	JCZZKSTDMH	2	LPS	EGAR00001481924	_EGAR00001481924_EIP@JCZZKSTDMH-2_aligned.fq.gz
JCZZKSTDMH_3	JCZZKSTDMH	3	Pam3CSK4	EGAR00001481925	_EGAR00001481925_EIP@JCZZKSTDMH-3_aligned.fq.gz
JCZZKSTDMH_4	JCZZKSTDMH	4	R848	EGAR00001481926	_EGAR00001481926_EIP@JCZZKSTDMH-4_aligned.fq.gz
JCZZKSTDMH_5	JCZZKSTDMH	5	IAV	EGAR00001481927	_EGAR00001481927_EIP@JCZZKSTDMH-5_aligned.fq.gz
JENVPXAOTG_1	JENVPXAOTG	1	naive	EGAR00001481928	_EGAR00001481928_EIP@JENVPXAOTG-1_aligned.fq.gz
JENVPXAOTG_2	JENVPXAOTG	2	LPS	EGAR00001481929	_EGAR00001481929_EIP@JENVPXAOTG-2_aligned.fq.gz
JENVPXAOTG_3	JENVPXAOTG	3	Pam3CSK4	EGAR00001481930	_EGAR00001481930_EIP@JENVPXAOTG-3_aligned.fq.gz
JENVPXAOTG_4	JENVPXAOTG	4	R848	EGAR00001481931	_EGAR00001481931_EIP@JENVPXAOTG-4_aligned.fq.gz
JENVPXAOTG_5	JENVPXAOTG	5	IAV	EGAR00001481932	_EGAR00001481932_EIP@JENVPXAOTG-5_aligned.fq.gz
JMLMONUGFZ_1	JMLMONUGFZ	1	naive	EGAR00001481933	_EGAR00001481933_EIP@JMLMONUGFZ-1_aligned.fq.gz
JMLMONUGFZ_2	JMLMONUGFZ	2	LPS	EGAR00001481934	_EGAR00001481934_EIP@JMLMONUGFZ-2_aligned.fq.gz
JMLMONUGFZ_3	JMLMONUGFZ	3	Pam3CSK4	EGAR00001481935	_EGAR00001481935_EIP@JMLMONUGFZ-3_aligned.fq.gz
JMLMONUGFZ_4	JMLMONUGFZ	4	R848	EGAR00001481936	_EGAR00001481936_EIP@JMLMONUGFZ-4_aligned.fq.gz
JMLMONUGFZ_5	JMLMONUGFZ	5	IAV	EGAR00001481937	_EGAR00001481937_EIP@JMLMONUGFZ-5_aligned.fq.gz
JMQCKWKBYK_1	JMQCKWKBYK	1	naive	EGAR00001481938	_EGAR00001481938_EIP@JMQCKWKBYK-1_aligned.fq.gz
JMQCKWKBYK_2	JMQCKWKBYK	2	LPS	EGAR00001481939	_EGAR00001481939_EIP@JMQCKWKBYK-2_aligned.fq.gz
JMQCKWKBYK_3	JMQCKWKBYK	3	Pam3CSK4	EGAR00001481940	_EGAR00001481940_EIP@JMQCKWKBYK-3_aligned.fq.gz
JMQCKWKBYK_4	JMQCKWKBYK	4	R848	EGAR00001481941	_EGAR00001481941_EIP@JMQCKWKBYK-4_aligned.fq.gz
JMQCKWKBYK_5	JMQCKWKBYK	5	IAV	EGAR00001481942	_EGAR00001481942_EIP@JMQCKWKBYK-5_aligned.fq.gz
JNZTUYMKZP_1	JNZTUYMKZP	1	naive	EGAR00001481943	_EGAR00001481943_EIP@JNZTUYMKZP-1_aligned.fq.gz
JNZTUYMKZP_2	JNZTUYMKZP	2	LPS	EGAR00001481944	_EGAR00001481944_EIP@JNZTUYMKZP-2_aligned.fq.gz
JNZTUYMKZP_3	JNZTUYMKZP	3	Pam3CSK4	EGAR00001481945	_EGAR00001481945_EIP@JNZTUYMKZP-3_aligned.fq.gz
JNZTUYMKZP_4	JNZTUYMKZP	4	R848	EGAR00001481946	_EGAR00001481946_EIP@JNZTUYMKZP-4_aligned.fq.gz
JNZTUYMKZP_5	JNZTUYMKZP	5	IAV	EGAR00001481947	_EGAR00001481947_EIP@JNZTUYMKZP-5_aligned.fq.gz
JOVIMCWWJW_1	JOVIMCWWJW	1	naive	EGAR00001481948	_EGAR00001481948_EIP@JOVIMCWWJW-1_aligned.fq.gz
JOVIMCWWJW_3	JOVIMCWWJW	3	Pam3CSK4	EGAR00001481949	_EGAR00001481949_EIP@JOVIMCWWJW-3_aligned.fq.gz
JOVIMCWWJW_4	JOVIMCWWJW	4	R848	EGAR00001481950	_EGAR00001481950_EIP@JOVIMCWWJW-4_aligned.fq.gz
JOVIMCWWJW_5	JOVIMCWWJW	5	IAV	EGAR00001481951	_EGAR00001481951_EIP@JOVIMCWWJW-5_aligned.fq.gz
JWMATSLZJE_1	JWMATSLZJE	1	naive	EGAR00001481952	_EGAR00001481952_EIP@JWMATSLZJE-1_aligned.fq.gz
JWMATSLZJE_2	JWMATSLZJE	2	LPS	EGAR00001481953	_EGAR00001481953_EIP@JWMATSLZJE-2_aligned.fq.gz
JWMATSLZJE_3	JWMATSLZJE	3	Pam3CSK4	EGAR00001481954	_EGAR00001481954_EIP@JWMATSLZJE-3_aligned.fq.gz
JWMATSLZJE_4	JWMATSLZJE	4	R848	EGAR00001481955	_EGAR00001481955_EIP@JWMATSLZJE-4_aligned.fq.gz
JWMATSLZJE_5	JWMATSLZJE	5	IAV	EGAR00001481956	_EGAR00001481956_EIP@JWMATSLZJE-5_aligned.fq.gz
JWYFZHIDVT_1	JWYFZHIDVT	1	naive	EGAR00001481957	_EGAR00001481957_EIP@JWYFZHIDVT-1_aligned.fq.gz
JWYFZHIDVT_2	JWYFZHIDVT	2	LPS	EGAR00001481958	_EGAR00001481958_EIP@JWYFZHIDVT-2_aligned.fq.gz
JWYFZHIDVT_3	JWYFZHIDVT	3	Pam3CSK4	EGAR00001481959	_EGAR00001481959_EIP@JWYFZHIDVT-3_aligned.fq.gz
JWYFZHIDVT_4	JWYFZHIDVT	4	R848	EGAR00001481960	_EGAR00001481960_EIP@JWYFZHIDVT-4_aligned.fq.gz
JWYFZHIDVT_5	JWYFZHIDVT	5	IAV	EGAR00001481961	_EGAR00001481961_EIP@JWYFZHIDVT-5_aligned.fq.gz
KFZPFHPKFA_1	KFZPFHPKFA	1	naive	EGAR00001481962	_EGAR00001481962_EIP@KFZPFHPKFA-1_aligned.fq.gz
KFZPFHPKFA_2	KFZPFHPKFA	2	LPS	EGAR00001481963	_EGAR00001481963_EIP@KFZPFHPKFA-2_aligned.fq.gz
KFZPFHPKFA_3	KFZPFHPKFA	3	Pam3CSK4	EGAR00001481964	_EGAR00001481964_EIP@KFZPFHPKFA-3_aligned.fq.gz
KFZPFHPKFA_4	KFZPFHPKFA	4	R848	EGAR00001481965	_EGAR00001481965_EIP@KFZPFHPKFA-4_aligned.fq.gz
KFZPFHPKFA_5	KFZPFHPKFA	5	IAV	EGAR00001481966	_EGAR00001481966_EIP@KFZPFHPKFA-5_aligned.fq.gz
KLIZFHXNAK_1	KLIZFHXNAK	1	naive	EGAR00001481967	_EGAR00001481967_EIP@KLIZFHXNAK-1_aligned.fq.gz
KLIZFHXNAK_2	KLIZFHXNAK	2	LPS	EGAR00001481968	_EGAR00001481968_EIP@KLIZFHXNAK-2_aligned.fq.gz
KLIZFHXNAK_3	KLIZFHXNAK	3	Pam3CSK4	EGAR00001481969	_EGAR00001481969_EIP@KLIZFHXNAK-3_aligned.fq.gz
KLIZFHXNAK_4	KLIZFHXNAK	4	R848	EGAR00001481970	_EGAR00001481970_EIP@KLIZFHXNAK-4_aligned.fq.gz
KLIZFHXNAK_5	KLIZFHXNAK	5	IAV	EGAR00001481971	_EGAR00001481971_EIP@KLIZFHXNAK-5_aligned.fq.gz
KLQQCENBQK_1	KLQQCENBQK	1	naive	EGAR00001481972	_EGAR00001481972_EIP@KLQQCENBQK-1_aligned.fq.gz
KLQQCENBQK_2	KLQQCENBQK	2	LPS	EGAR00001481973	_EGAR00001481973_EIP@KLQQCENBQK-2_aligned.fq.gz
KLQQCENBQK_3	KLQQCENBQK	3	Pam3CSK4	EGAR00001481974	_EGAR00001481974_EIP@KLQQCENBQK-3_aligned.fq.gz
KLQQCENBQK_4	KLQQCENBQK	4	R848	EGAR00001481975	_EGAR00001481975_EIP@KLQQCENBQK-4_aligned.fq.gz
KLQQCENBQK_5	KLQQCENBQK	5	IAV	EGAR00001481976	_EGAR00001481976_EIP@KLQQCENBQK-5_aligned.fq.gz
KMKJVOCBKY_1	KMKJVOCBKY	1	naive	EGAR00001481977	_EGAR00001481977_EIP@KMKJVOCBKY-1_aligned.fq.gz
KMKJVOCBKY_2	KMKJVOCBKY	2	LPS	EGAR00001481978	_EGAR00001481978_EIP@KMKJVOCBKY-2_aligned.fq.gz
KMKJVOCBKY_3	KMKJVOCBKY	3	Pam3CSK4	EGAR00001481979	_EGAR00001481979_EIP@KMKJVOCBKY-3_aligned.fq.gz
KMKJVOCBKY_4	KMKJVOCBKY	4	R848	EGAR00001481980	_EGAR00001481980_EIP@KMKJVOCBKY-4_aligned.fq.gz
KMKJVOCBKY_5	KMKJVOCBKY	5	IAV	EGAR00001481981	_EGAR00001481981_EIP@KMKJVOCBKY-5_aligned.fq.gz
KWVDISKZCS_1	KWVDISKZCS	1	naive	EGAR00001481982	_EGAR00001481982_EIP@KWVDISKZCS-1_aligned.fq.gz
KWVDISKZCS_2	KWVDISKZCS	2	LPS	EGAR00001481983	_EGAR00001481983_EIP@KWVDISKZCS-2_aligned.fq.gz
KWVDISKZCS_3	KWVDISKZCS	3	Pam3CSK4	EGAR00001481984	_EGAR00001481984_EIP@KWVDISKZCS-3_aligned.fq.gz
KWVDISKZCS_4	KWVDISKZCS	4	R848	EGAR00001481985	_EGAR00001481985_EIP@KWVDISKZCS-4_aligned.fq.gz
KWVDISKZCS_5	KWVDISKZCS	5	IAV	EGAR00001481986	_EGAR00001481986_EIP@KWVDISKZCS-5_aligned.fq.gz
KXDTPUUICZ_1	KXDTPUUICZ	1	naive	EGAR00001481987	_EGAR00001481987_EIP@KXDTPUUICZ-1_aligned.fq.gz
KXDTPUUICZ_2	KXDTPUUICZ	2	LPS	EGAR00001481988	_EGAR00001481988_EIP@KXDTPUUICZ-2_aligned.fq.gz
KXDTPUUICZ_3	KXDTPUUICZ	3	Pam3CSK4	EGAR00001481989	_EGAR00001481989_EIP@KXDTPUUICZ-3_aligned.fq.gz
KXDTPUUICZ_4	KXDTPUUICZ	4	R848	EGAR00001481990	_EGAR00001481990_EIP@KXDTPUUICZ-4_aligned.fq.gz
KXDTPUUICZ_5	KXDTPUUICZ	5	IAV	EGAR00001481991	_EGAR00001481991_EIP@KXDTPUUICZ-5_aligned.fq.gz
LAQZXNBPQY_1	LAQZXNBPQY	1	naive	EGAR00001481992	_EGAR00001481992_EIP@LAQZXNBPQY-1_aligned.fq.gz
LAQZXNBPQY_2	LAQZXNBPQY	2	LPS	EGAR00001481993	_EGAR00001481993_EIP@LAQZXNBPQY-2_aligned.fq.gz
LAQZXNBPQY_3	LAQZXNBPQY	3	Pam3CSK4	EGAR00001481994	_EGAR00001481994_EIP@LAQZXNBPQY-3_aligned.fq.gz
LAQZXNBPQY_4	LAQZXNBPQY	4	R848	EGAR00001481995	_EGAR00001481995_EIP@LAQZXNBPQY-4_aligned.fq.gz
LAQZXNBPQY_5	LAQZXNBPQY	5	IAV	EGAR00001481996	_EGAR00001481996_EIP@LAQZXNBPQY-5_aligned.fq.gz
LFVJUQISVR_1	LFVJUQISVR	1	naive	EGAR00001481997	_EGAR00001481997_EIP@LFVJUQISVR-1_aligned.fq.gz
LFVJUQISVR_2	LFVJUQISVR	2	LPS	EGAR00001481998	_EGAR00001481998_EIP@LFVJUQISVR-2_aligned.fq.gz
LFVJUQISVR_3	LFVJUQISVR	3	Pam3CSK4	EGAR00001481999	_EGAR00001481999_EIP@LFVJUQISVR-3_aligned.fq.gz
LFVJUQISVR_4	LFVJUQISVR	4	R848	EGAR00001482000	_EGAR00001482000_EIP@LFVJUQISVR-4_aligned.fq.gz
LFVJUQISVR_5	LFVJUQISVR	5	IAV	EGAR00001482001	_EGAR00001482001_EIP@LFVJUQISVR-5_aligned.fq.gz
LJFEWNFQVF_1	LJFEWNFQVF	1	naive	EGAR00001482002	_EGAR00001482002_EIP@LJFEWNFQVF-1_aligned.fq.gz
LJFEWNFQVF_2	LJFEWNFQVF	2	LPS	EGAR00001482003	_EGAR00001482003_EIP@LJFEWNFQVF-2_aligned.fq.gz
LJFEWNFQVF_3	LJFEWNFQVF	3	Pam3CSK4	EGAR00001482004	_EGAR00001482004_EIP@LJFEWNFQVF-3_aligned.fq.gz
LJFEWNFQVF_4	LJFEWNFQVF	4	R848	EGAR00001482005	_EGAR00001482005_EIP@LJFEWNFQVF-4_aligned.fq.gz
LJFEWNFQVF_5	LJFEWNFQVF	5	IAV	EGAR00001482006	_EGAR00001482006_EIP@LJFEWNFQVF-5_aligned.fq.gz
LRZPBABQEL_1	LRZPBABQEL	1	naive	EGAR00001482007	_EGAR00001482007_EIP@LRZPBABQEL-1_aligned.fq.gz
LRZPBABQEL_2	LRZPBABQEL	2	LPS	EGAR00001482008	_EGAR00001482008_EIP@LRZPBABQEL-2_aligned.fq.gz
LRZPBABQEL_3	LRZPBABQEL	3	Pam3CSK4	EGAR00001482009	_EGAR00001482009_EIP@LRZPBABQEL-3_aligned.fq.gz
LRZPBABQEL_4	LRZPBABQEL	4	R848	EGAR00001482010	_EGAR00001482010_EIP@LRZPBABQEL-4_aligned.fq.gz
LRZPBABQEL_5	LRZPBABQEL	5	IAV	EGAR00001482011	_EGAR00001482011_EIP@LRZPBABQEL-5_aligned.fq.gz
LTOOWSNDKX_1	LTOOWSNDKX	1	naive	EGAR00001482012	_EGAR00001482012_EIP@LTOOWSNDKX-1_aligned.fq.gz
LTOOWSNDKX_2	LTOOWSNDKX	2	LPS	EGAR00001482013	_EGAR00001482013_EIP@LTOOWSNDKX-2_aligned.fq.gz
LTOOWSNDKX_3	LTOOWSNDKX	3	Pam3CSK4	EGAR00001482014	_EGAR00001482014_EIP@LTOOWSNDKX-3_aligned.fq.gz
LTOOWSNDKX_4	LTOOWSNDKX	4	R848	EGAR00001482015	_EGAR00001482015_EIP@LTOOWSNDKX-4_aligned.fq.gz
LTOOWSNDKX_5	LTOOWSNDKX	5	IAV	EGAR00001482016	_EGAR00001482016_EIP@LTOOWSNDKX-5_aligned.fq.gz
LVOMJJWNYB_1	LVOMJJWNYB	1	naive	EGAR00001482017	_EGAR00001482017_EIP@LVOMJJWNYB-1_aligned.fq.gz
LVOMJJWNYB_2	LVOMJJWNYB	2	LPS	EGAR00001482018	_EGAR00001482018_EIP@LVOMJJWNYB-2_aligned.fq.gz
LVOMJJWNYB_3	LVOMJJWNYB	3	Pam3CSK4	EGAR00001482019	_EGAR00001482019_EIP@LVOMJJWNYB-3_aligned.fq.gz
LVOMJJWNYB_4	LVOMJJWNYB	4	R848	EGAR00001482020	_EGAR00001482020_EIP@LVOMJJWNYB-4_aligned.fq.gz
LVOMJJWNYB_5	LVOMJJWNYB	5	IAV	EGAR00001482021	_EGAR00001482021_EIP@LVOMJJWNYB-5_aligned.fq.gz
LYZVSGYLUL_1	LYZVSGYLUL	1	naive	EGAR00001482022	_EGAR00001482022_EIP@LYZVSGYLUL-1_aligned.fq.gz
LYZVSGYLUL_2	LYZVSGYLUL	2	LPS	EGAR00001482023	_EGAR00001482023_EIP@LYZVSGYLUL-2_aligned.fq.gz
LYZVSGYLUL_3	LYZVSGYLUL	3	Pam3CSK4	EGAR00001482024	_EGAR00001482024_EIP@LYZVSGYLUL-3_aligned.fq.gz
LYZVSGYLUL_4	LYZVSGYLUL	4	R848	EGAR00001482025	_EGAR00001482025_EIP@LYZVSGYLUL-4_aligned.fq.gz
LYZVSGYLUL_5	LYZVSGYLUL	5	IAV	EGAR00001482026	_EGAR00001482026_EIP@LYZVSGYLUL-5_aligned.fq.gz
MCCSLEQMNU_1	MCCSLEQMNU	1	naive	EGAR00001482027	_EGAR00001482027_EIP@MCCSLEQMNU-1_aligned.fq.gz
MCCSLEQMNU_2	MCCSLEQMNU	2	LPS	EGAR00001482028	_EGAR00001482028_EIP@MCCSLEQMNU-2_aligned.fq.gz
MCCSLEQMNU_3	MCCSLEQMNU	3	Pam3CSK4	EGAR00001482029	_EGAR00001482029_EIP@MCCSLEQMNU-3_aligned.fq.gz
MCCSLEQMNU_4	MCCSLEQMNU	4	R848	EGAR00001482030	_EGAR00001482030_EIP@MCCSLEQMNU-4_aligned.fq.gz
MCCSLEQMNU_5	MCCSLEQMNU	5	IAV	EGAR00001482031	_EGAR00001482031_EIP@MCCSLEQMNU-5_aligned.fq.gz
MFPBCPVTTJ_1	MFPBCPVTTJ	1	naive	EGAR00001482032	_EGAR00001482032_EIP@MFPBCPVTTJ-1_aligned.fq.gz
MFPBCPVTTJ_2	MFPBCPVTTJ	2	LPS	EGAR00001482033	_EGAR00001482033_EIP@MFPBCPVTTJ-2_aligned.fq.gz
MFPBCPVTTJ_3	MFPBCPVTTJ	3	Pam3CSK4	EGAR00001482034	_EGAR00001482034_EIP@MFPBCPVTTJ-3_aligned.fq.gz
MFPBCPVTTJ_4	MFPBCPVTTJ	4	R848	EGAR00001482035	_EGAR00001482035_EIP@MFPBCPVTTJ-4_aligned.fq.gz
MFPBCPVTTJ_5	MFPBCPVTTJ	5	IAV	EGAR00001482036	_EGAR00001482036_EIP@MFPBCPVTTJ-5_aligned.fq.gz
MIRHDLRNVI_1	MIRHDLRNVI	1	naive	EGAR00001482037	_EGAR00001482037_EIP@MIRHDLRNVI-1_aligned.fq.gz
