sample_id	genotype_id	sex	cell_type	condition	timepoint	read_length	stranded	paired	protocol	qtl_mapping	study	ega_id
GLJYAHOCRF_5	GLJYAHOCRF	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481849
GRUVJQSJZM_1	GRUVJQSJZM	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481850
GRUVJQSJZM_2	GRUVJQSJZM	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481851
GRUVJQSJZM_3	GRUVJQSJZM	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481852
GRUVJQSJZM_4	GRUVJQSJZM	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481853
GRUVJQSJZM_5	GRUVJQSJZM	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481854
GTXWVKOGCP_1	GTXWVKOGCP	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481855
GTXWVKOGCP_2	GTXWVKOGCP	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481856
GTXWVKOGCP_3	GTXWVKOGCP	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481857
GTXWVKOGCP_4	GTXWVKOGCP	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481858
GTXWVKOGCP_5	GTXWVKOGCP	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481859
GXZZOFFFIN_1	GXZZOFFFIN	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481860
GXZZOFFFIN_2	GXZZOFFFIN	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481861
GXZZOFFFIN_3	GXZZOFFFIN	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481862
GXZZOFFFIN_4	GXZZOFFFIN	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481863
GXZZOFFFIN_5	GXZZOFFFIN	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481864
HFJDNSKKMJ_1	HFJDNSKKMJ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481865
HFJDNSKKMJ_2	HFJDNSKKMJ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481866
HFJDNSKKMJ_3	HFJDNSKKMJ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481867
HFJDNSKKMJ_4	HFJDNSKKMJ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481868
HFJDNSKKMJ_5	HFJDNSKKMJ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481869
HHLVSNGCLC_1	HHLVSNGCLC	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481870
HHLVSNGCLC_3	HHLVSNGCLC	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481871
HHLVSNGCLC_4	HHLVSNGCLC	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481872
HHLVSNGCLC_5	HHLVSNGCLC	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481873
HJHLORELQS_1	HJHLORELQS	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481874
HJHLORELQS_2	HJHLORELQS	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481875
HJHLORELQS_3	HJHLORELQS	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481876
HJHLORELQS_4	HJHLORELQS	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481877
HJHLORELQS_5	HJHLORELQS	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481878
HKTNZNHWVL_1	HKTNZNHWVL	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481879
HKTNZNHWVL_2	HKTNZNHWVL	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481880
HKTNZNHWVL_3	HKTNZNHWVL	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481881
HKTNZNHWVL_4	HKTNZNHWVL	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481882
HKTNZNHWVL_5	HKTNZNHWVL	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481883
HUJSOVYQHV_1	HUJSOVYQHV	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481884
HUJSOVYQHV_2	HUJSOVYQHV	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481885
HUJSOVYQHV_3	HUJSOVYQHV	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481886
HUJSOVYQHV_4	HUJSOVYQHV	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481887
HUJSOVYQHV_5	HUJSOVYQHV	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481888
HZRSFLQRBY_1	HZRSFLQRBY	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481889
HZRSFLQRBY_2	HZRSFLQRBY	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481890
HZRSFLQRBY_3	HZRSFLQRBY	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481891
HZRSFLQRBY_4	HZRSFLQRBY	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481892
HZRSFLQRBY_5	HZRSFLQRBY	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481893
IBEEIMQZIL_1	IBEEIMQZIL	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481894
IBEEIMQZIL_2	IBEEIMQZIL	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481895
IBEEIMQZIL_3	IBEEIMQZIL	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481896
IBEEIMQZIL_4	IBEEIMQZIL	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481897
IBEEIMQZIL_5	IBEEIMQZIL	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481898
INBOXCSKNQ_1	INBOXCSKNQ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481899
INBOXCSKNQ_2	INBOXCSKNQ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481900
INBOXCSKNQ_3	INBOXCSKNQ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481901
INBOXCSKNQ_4	INBOXCSKNQ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481902
INBOXCSKNQ_5	INBOXCSKNQ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481903
IUBCERAEFL_1	IUBCERAEFL	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481904
IUBCERAEFL_2	IUBCERAEFL	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481905
IUBCERAEFL_3	IUBCERAEFL	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481906
IUBCERAEFL_5	IUBCERAEFL	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481907
IVHZNOUGHI_1	IVHZNOUGHI	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481908
IVHZNOUGHI_2	IVHZNOUGHI	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481909
IVHZNOUGHI_3	IVHZNOUGHI	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481910
IVHZNOUGHI_4	IVHZNOUGHI	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481911
IVHZNOUGHI_5	IVHZNOUGHI	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481912
IYZSBNMGAN_1	IYZSBNMGAN	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481913
IYZSBNMGAN_2	IYZSBNMGAN	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481914
IYZSBNMGAN_3	IYZSBNMGAN	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481915
IYZSBNMGAN_4	IYZSBNMGAN	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481916
IYZSBNMGAN_5	IYZSBNMGAN	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481917
JAECQJYIHD_1	JAECQJYIHD	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481918
JAECQJYIHD_2	JAECQJYIHD	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481919
JAECQJYIHD_3	JAECQJYIHD	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481920
JAECQJYIHD_4	JAECQJYIHD	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481921
JAECQJYIHD_5	JAECQJYIHD	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481922
JCZZKSTDMH_1	JCZZKSTDMH	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481923
JCZZKSTDMH_2	JCZZKSTDMH	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481924
JCZZKSTDMH_3	JCZZKSTDMH	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481925
JCZZKSTDMH_4	JCZZKSTDMH	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481926
JCZZKSTDMH_5	JCZZKSTDMH	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481927
JENVPXAOTG_1	JENVPXAOTG	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481928
JENVPXAOTG_2	JENVPXAOTG	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481929
JENVPXAOTG_3	JENVPXAOTG	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481930
JENVPXAOTG_4	JENVPXAOTG	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481931
JENVPXAOTG_5	JENVPXAOTG	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481932
JMLMONUGFZ_1	JMLMONUGFZ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481933
JMLMONUGFZ_2	JMLMONUGFZ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481934
JMLMONUGFZ_3	JMLMONUGFZ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481935
JMLMONUGFZ_4	JMLMONUGFZ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481936
JMLMONUGFZ_5	JMLMONUGFZ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481937
JMQCKWKBYK_1	JMQCKWKBYK	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481938
JMQCKWKBYK_2	JMQCKWKBYK	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481939
JMQCKWKBYK_3	JMQCKWKBYK	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481940
JMQCKWKBYK_4	JMQCKWKBYK	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481941
JMQCKWKBYK_5	JMQCKWKBYK	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481942
JNZTUYMKZP_1	JNZTUYMKZP	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481943
JNZTUYMKZP_2	JNZTUYMKZP	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481944
JNZTUYMKZP_3	JNZTUYMKZP	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481945
JNZTUYMKZP_4	JNZTUYMKZP	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481946
JNZTUYMKZP_5	JNZTUYMKZP	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481947
JOVIMCWWJW_1	JOVIMCWWJW	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481948
JOVIMCWWJW_3	JOVIMCWWJW	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481949
JOVIMCWWJW_4	JOVIMCWWJW	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481950
JOVIMCWWJW_5	JOVIMCWWJW	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481951
JWMATSLZJE_1	JWMATSLZJE	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481952
JWMATSLZJE_2	JWMATSLZJE	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481953
JWMATSLZJE_3	JWMATSLZJE	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481954
JWMATSLZJE_4	JWMATSLZJE	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481955
JWMATSLZJE_5	JWMATSLZJE	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481956
JWYFZHIDVT_1	JWYFZHIDVT	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481957
JWYFZHIDVT_2	JWYFZHIDVT	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481958
JWYFZHIDVT_3	JWYFZHIDVT	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481959
JWYFZHIDVT_4	JWYFZHIDVT	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481960
JWYFZHIDVT_5	JWYFZHIDVT	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481961
KFZPFHPKFA_1	KFZPFHPKFA	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481962
KFZPFHPKFA_2	KFZPFHPKFA	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481963
KFZPFHPKFA_3	KFZPFHPKFA	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481964
KFZPFHPKFA_4	KFZPFHPKFA	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481965
KFZPFHPKFA_5	KFZPFHPKFA	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481966
KLIZFHXNAK_1	KLIZFHXNAK	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481967
KLIZFHXNAK_2	KLIZFHXNAK	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481968
KLIZFHXNAK_3	KLIZFHXNAK	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481969
KLIZFHXNAK_4	KLIZFHXNAK	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481970
KLIZFHXNAK_5	KLIZFHXNAK	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481971
KLQQCENBQK_1	KLQQCENBQK	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481972
KLQQCENBQK_2	KLQQCENBQK	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481973
KLQQCENBQK_3	KLQQCENBQK	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481974
KLQQCENBQK_4	KLQQCENBQK	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481975
KLQQCENBQK_5	KLQQCENBQK	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481976
KMKJVOCBKY_1	KMKJVOCBKY	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481977
KMKJVOCBKY_2	KMKJVOCBKY	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481978
KMKJVOCBKY_3	KMKJVOCBKY	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481979
KMKJVOCBKY_4	KMKJVOCBKY	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481980
KMKJVOCBKY_5	KMKJVOCBKY	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481981
KWVDISKZCS_1	KWVDISKZCS	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481982
KWVDISKZCS_2	KWVDISKZCS	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481983
KWVDISKZCS_3	KWVDISKZCS	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481984
KWVDISKZCS_4	KWVDISKZCS	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481985
KWVDISKZCS_5	KWVDISKZCS	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481986
KXDTPUUICZ_1	KXDTPUUICZ	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481987
KXDTPUUICZ_2	KXDTPUUICZ	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481988
KXDTPUUICZ_3	KXDTPUUICZ	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481989
KXDTPUUICZ_4	KXDTPUUICZ	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481990
KXDTPUUICZ_5	KXDTPUUICZ	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481991
LAQZXNBPQY_1	LAQZXNBPQY	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481992
LAQZXNBPQY_2	LAQZXNBPQY	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481993
LAQZXNBPQY_3	LAQZXNBPQY	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481994
LAQZXNBPQY_4	LAQZXNBPQY	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481995
LAQZXNBPQY_5	LAQZXNBPQY	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481996
LFVJUQISVR_1	LFVJUQISVR	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481997
LFVJUQISVR_2	LFVJUQISVR	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481998
LFVJUQISVR_3	LFVJUQISVR	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001481999
LFVJUQISVR_4	LFVJUQISVR	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482000
LFVJUQISVR_5	LFVJUQISVR	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482001
LJFEWNFQVF_1	LJFEWNFQVF	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482002
LJFEWNFQVF_2	LJFEWNFQVF	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482003
LJFEWNFQVF_3	LJFEWNFQVF	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482004
LJFEWNFQVF_4	LJFEWNFQVF	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482005
LJFEWNFQVF_5	LJFEWNFQVF	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482006
LRZPBABQEL_1	LRZPBABQEL	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482007
LRZPBABQEL_2	LRZPBABQEL	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482008
LRZPBABQEL_3	LRZPBABQEL	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482009
LRZPBABQEL_4	LRZPBABQEL	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482010
LRZPBABQEL_5	LRZPBABQEL	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482011
LTOOWSNDKX_1	LTOOWSNDKX	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482012
LTOOWSNDKX_2	LTOOWSNDKX	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482013
LTOOWSNDKX_3	LTOOWSNDKX	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482014
LTOOWSNDKX_4	LTOOWSNDKX	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482015
LTOOWSNDKX_5	LTOOWSNDKX	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482016
LVOMJJWNYB_1	LVOMJJWNYB	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482017
LVOMJJWNYB_2	LVOMJJWNYB	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482018
LVOMJJWNYB_3	LVOMJJWNYB	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482019
LVOMJJWNYB_4	LVOMJJWNYB	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482020
LVOMJJWNYB_5	LVOMJJWNYB	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	FALSE	Quach_2016	EGAR00001482021
LYZVSGYLUL_1	LYZVSGYLUL	male	monocyte	naive	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482022
LYZVSGYLUL_2	LYZVSGYLUL	male	monocyte	LPS	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482023
LYZVSGYLUL_3	LYZVSGYLUL	male	monocyte	Pam3CSK4	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482024
LYZVSGYLUL_4	LYZVSGYLUL	male	monocyte	R848	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482025
LYZVSGYLUL_5	LYZVSGYLUL	male	monocyte	IAV	6	100bp	FALSE	FALSE	poly(A)	TRUE	Quach_2016	EGAR00001482026
